Title,CompanyName,CategoryName
Senior System and Network Administrator,Kgroup,IT/Software Development
Senior System and Network Administrator,Kgroup,Engineering - Telecom/Technology
IT Help Desk,Kgroup,IT/Software Development
IT Help Desk,Kgroup,Engineering - Telecom/Technology
Senior Backend Developer - Part Time,Zewail City,IT/Software Development
Senior Backend Developer - Part Time,Zewail City,Engineering - Telecom/Technology
Odoo Developer,Technotown,Installation/Maintenance/Repair
Odoo Developer,Technotown,IT/Software Development
Odoo Developer,Technotown,Engineering - Telecom/Technology
IT Operations Manager,Kgroup,IT/Software Development
IT Operations Manager,Kgroup,Engineering - Telecom/Technology
Senior PHP Developer (Laravel),Safa Soft,IT/Software Development
Senior PHP Developer (Laravel),Safa Soft,Engineering - Telecom/Technology
Quality Control Inspector,Breadfast,IT/Software Development
Quality Control Inspector,Breadfast,Quality
Senior Database Administrator,Smart Cards application,IT/Software Development
Senior Database Administrator,Smart Cards application,Engineering - Telecom/Technology
Technical Support Specialist-Cairo,Cepack,Customer Service/Support
Technical Support Specialist-Cairo,Cepack,IT/Software Development
Technical Support Specialist,Cepack,Customer Service/Support
Technical Support Specialist,Cepack,IT/Software Development
Senior Front End Developer,Informatique Education,IT/Software Development
Senior Front End Developer,Informatique Education,Engineering - Telecom/Technology
Senior Back-End Developer (Node Js),3D Diagnostix,IT/Software Development
Senior Back-End Developer (Node Js),3D Diagnostix,Engineering - Other
IT Help Desk,Confidential,IT/Software Development
IT Help Desk,Confidential,Engineering - Telecom/Technology
Junior Application tester and quality control,conveyou,IT/Software Development
Senior Front End Developer Angular,etmana,IT/Software Development
Cloud Architect,VAS Integrated Solutions,Creative/Design/Art
Cloud Architect,VAS Integrated Solutions,IT/Software Development
Cloud Architect,VAS Integrated Solutions,Engineering - Telecom/Technology
Senior Engineer (Customer Services),Raya Holding for Financial Investments,IT/Software Development
Senior Engineer (Customer Services),Raya Holding for Financial Investments,Engineering - Telecom/Technology
Senior Engineer (Customer Services),Raya Holding for Financial Investments,Engineering - Mechanical/Electrical
Technical Support Engineer,Olivery,IT/Software Development
Technical Support Engineer,Olivery,Logistics/Supply Chain
Second Line Support and Network & Data Engineer.,Confidential,IT/Software Development
Second Line Support and Systems & Security Engineer.,Confidential,IT/Software Development
Business Analyst,3S Software,IT/Software Development
Business Analyst,3S Software,Analyst/Research
Help Desk Engineer.,Confidential,Installation/Maintenance/Repair
Help Desk Engineer.,Confidential,IT/Software Development
Help Desk Engineer.,Confidential,Engineering - Telecom/Technology
Information & Network security Engineer,Alexandria Business Association- SMEs Project,Installation/Maintenance/Repair
Information & Network security Engineer,Alexandria Business Association- SMEs Project,IT/Software Development
Information & Network security Engineer,Alexandria Business Association- SMEs Project,Engineering - Telecom/Technology
IT Senior system admin- nearby to 10th of Ramadan,El Banna Group Company,IT/Software Development
IT Senior system admin- nearby to 10th of Ramadan,El Banna Group Company,Operations/Management
IT Senior system admin- nearby to 10th of Ramadan,El Banna Group Company,Other
Drafter,ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Engineering - Construction/Civil/Architecture
Drafter,ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Creative/Design/Art
Drafter,ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Engineering - Mechanical/Electrical
PHP Developer,Confidential,Business Development
PHP Developer,Confidential,IT/Software Development
PHP Developer,Confidential,Engineering - Telecom/Technology
Scrum Master,Dimofinf Operations Center,IT/Software Development
Scrum Master,Dimofinf Operations Center,Project/Program Management
Scrum Master,Dimofinf Operations Center,Engineering - Telecom/Technology
Software Quality Control Engineer,Confidential,IT/Software Development
Software Quality Control Engineer,Confidential,Quality
Software Quality Control Engineer,Confidential,Engineering - Telecom/Technology
Back end Support,MTS-IT,IT/Software Development
Software Testing Engineer,MTS-IT,Quality
Maintenance Technician,CommuniCare Health,Installation/Maintenance/Repair
Maintenance Technician,CommuniCare Health,IT/Software Development
Maintenance Technician,CommuniCare Health,Engineering - Mechanical/Electrical
"QA Engineer, Fintech",Optasia,IT/Software Development
"QA Engineer, Fintech",Optasia,Quality
Senior Devops Engineer,Octane solutions,Installation/Maintenance/Repair
Senior Devops Engineer,Octane solutions,IT/Software Development
Senior Devops Engineer,Octane solutions,Engineering - Telecom/Technology
"Software Engineer - Backend, Fintech",Optasia,IT/Software Development
"Software Engineer - Backend, Fintech",Optasia,Engineering - Other
Senior Jasper Developer/Admin,FlairsTech,IT/Software Development
IT Operation Team Lead,Caduceus Lane,IT/Software Development
Quality Assurance Testing Engineer,Confidential,IT/Software Development
Quality Assurance Testing Engineer,Confidential,Quality
Quality Assurance Testing Engineer,Confidential,Engineering - Telecom/Technology
System Administrator,Arabia for Information Technology,IT/Software Development
IT Specialist,Confidential,IT/Software Development
SAP system admin (SAP Business One),Asass,IT/Software Development
SAP system admin (SAP Business One),Asass,Engineering - Telecom/Technology
IT Help Desk,Amer Vision Group,Installation/Maintenance/Repair
IT Help Desk,Amer Vision Group,IT/Software Development
IT Help Desk,Amer Vision Group,Engineering - Telecom/Technology
Technical Writer,Millensys,Writing/Editorial
Technical Writer,Millensys,IT/Software Development
Senior Full Stack Developer (Angular / Java),Confidential,IT/Software Development
System Administrator,Servmix,Administration
System Administrator,Servmix,IT/Software Development
System Administrator,Servmix,Engineering - Telecom/Technology
ERP Implementer - Odoo,classera,Accounting/Finance
ERP Implementer - Odoo,classera,Customer Service/Support
ERP Implementer - Odoo,classera,IT/Software Development
Full Stack Developer (.Net & Angular),GoodsMart,IT/Software Development
Senior QA Engineer,Agolo Egypt,IT/Software Development
Power BI Developer,eVision,IT/Software Development
Android Developer,Confidential,Business Development
Android Developer,Confidential,IT/Software Development
Integration Engineer,Obeikan Digital Solutions,IT/Software Development
Backend PHP,Obeikan Digital Solutions,IT/Software Development
Quality Control Engineer,Obeikan Digital Solutions,IT/Software Development
Frontend Angular,Obeikan Digital Solutions,IT/Software Development
Senior Full Stack Developer,Horizon Agency,IT/Software Development
Senior Full Stack Developer,Horizon Agency,Engineering - Telecom/Technology
WordPress Developer,Horizon Agency,IT/Software Development
WordPress Developer,Horizon Agency,Engineering - Telecom/Technology
Node JS Developer,Obeikan Digital Solutions,IT/Software Development
Software Development Team Leader,Confidential,IT/Software Development
.NET WEB DEVELOPER (Web Forms),Informatique Education,IT/Software Development
.NET WEB DEVELOPER (Web Forms),Informatique Education,Engineering - Telecom/Technology
Laravel Developer,Kyan Labs,IT/Software Development
Laravel Developer,Kyan Labs,Engineering - Telecom/Technology
Senior Testing Engineer,Al Ahly Momkn for e-payment,IT/Software Development
Partnership Manager,Confidential,IT/Software Development
Partnership Manager,Confidential,Sales/Retail
Cyber Security Engineer,Confidential,IT/Software Development
Cyber Security Engineer,Confidential,Engineering - Telecom/Technology
Field Service Rep. I - Drilling Fluids,"Halliburton Energy Services, Inc.",IT/Software Development
Field Service Rep. I - Drilling Fluids,"Halliburton Energy Services, Inc.",Medical/Healthcare
Field Service Rep. I - Drilling Fluids,"Halliburton Energy Services, Inc.",Sales/Retail
Sales Manager,ERP-Bank,Customer Service/Support
Sales Manager,ERP-Bank,IT/Software Development
Sales Manager,ERP-Bank,Sales/Retail
IT Support Agent - Jumia (Full Time),Jumia Technologies AG,Customer Service/Support
IT Support Agent - Jumia (Full Time),Jumia Technologies AG,IT/Software Development
IT Support Agent - Jumia (Full Time),Jumia Technologies AG,Engineering - Telecom/Technology
Finance Manager,Dentsu Inc,Accounting/Finance
Finance Manager,Dentsu Inc,Banking
Finance Manager,Dentsu Inc,Operations/Management
Software QA Automation Engineer,Confidential,IT/Software Development
Software QA Automation Engineer,Confidential,Engineering - Telecom/Technology
Junior Web Developer (Back-End) - Alexandria,Arabic Localizer,IT/Software Development
Junior Web Developer (Back-End) - Alexandria,Arabic Localizer,Engineering - Telecom/Technology
SAP FICO - TRM - COPA - FUND Consultant,Galaxy Consulting Solutions (G.C.S),Accounting/Finance
SAP FICO - TRM - COPA - FUND Consultant,Galaxy Consulting Solutions (G.C.S),IT/Software Development
Oracle HCM Consultant,softprograms,Human Resources
Oracle HCM Consultant,softprograms,IT/Software Development
Senior Analyst - Accounting,S.C. Johnson & Son Inc,IT/Software Development
Senior Analyst - Accounting,S.C. Johnson & Son Inc,Analyst/Research
Senior Analyst - Accounting,S.C. Johnson & Son Inc,Engineering - Telecom/Technology
Senior Financial Analyst,Merck Sharp & Dohme Corp,Accounting/Finance
Senior Financial Analyst,Merck Sharp & Dohme Corp,IT/Software Development
Senior Financial Analyst,Merck Sharp & Dohme Corp,Analyst/Research
Head of Presales - EG - EBS,Giza Arabia Systems,IT/Software Development
Head of Presales - EG - EBS,Giza Arabia Systems,Sales/Retail
Head of Presales - EG - EBS,Giza Arabia Systems,Engineering - Mechanical/Electrical
Technical Trainer,FlairsTech,IT/Software Development
Application Developer-Java & Web Technologies,IBM WTC Egypt,Creative/Design/Art
Application Developer-Java & Web Technologies,IBM WTC Egypt,IT/Software Development
Application Developer-Java & Web Technologies,IBM WTC Egypt,Engineering - Telecom/Technology
Head of Technical Delivery- Government Business Solutions,Giza Arabia Systems,IT/Software Development
Head of Technical Delivery- Government Business Solutions,Giza Arabia Systems,Sales/Retail
Head of Technical Delivery- Government Business Solutions,Giza Arabia Systems,Engineering - Telecom/Technology
Senior Python Developer,FlairsTech,IT/Software Development
English Customer Support - PREMIUM,Sutherland,Customer Service/Support
English Customer Support - PREMIUM,Sutherland,IT/Software Development
English Customer Support - PREMIUM,Sutherland,Sales/Retail
Next JS developer,Sceel.io,IT/Software Development
Next JS developer,Sceel.io,Engineering - Telecom/Technology
En Ar Reviewer,BayanTech,Accounting/Finance
En Ar Reviewer,BayanTech,IT/Software Development
En Ar Reviewer,BayanTech,Marketing/PR/Advertising
Localization Project Manager,BayanTech,Engineering - Construction/Civil/Architecture
Localization Project Manager,BayanTech,IT/Software Development
Localization Project Manager,BayanTech,Project/Program Management
Offshore Team Leader (Call Center - Dispatching),BayanTech,IT/Software Development
Offshore Team Leader (Call Center - Dispatching),BayanTech,Sales/Retail
Offshore Team Leader (Call Center - Dispatching),BayanTech,Engineering - Telecom/Technology
Quality Assurance Executive (data analysis- internal auditing),BayanTech,IT/Software Development
Quality Assurance Executive (data analysis- internal auditing),BayanTech,Quality
Quality Assurance Executive (data analysis- internal auditing),BayanTech,Engineering - Telecom/Technology
Project Manager (Hybrid),BayanTech,Engineering - Construction/Civil/Architecture
Project Manager (Hybrid),BayanTech,IT/Software Development
Project Manager (Hybrid),BayanTech,Project/Program Management
UI/UX Web Designer,Nile Creations,Creative/Design/Art
UI/UX Web Designer,Nile Creations,IT/Software Development
UI/UX Web Designer,Nile Creations,Engineering - Telecom/Technology
iOS Developer,34ML,IT/Software Development
iOS Developer,34ML,Engineering - Telecom/Technology
VueJS Frontend Developer,34ML,Creative/Design/Art
VueJS Frontend Developer,34ML,IT/Software Development
VueJS Frontend Developer,34ML,Engineering - Telecom/Technology
Software Quality Control Specialist,Arabia for Information Technology,IT/Software Development
Software Quality Control Specialist,Arabia for Information Technology,Quality
Software Quality Control Specialist,Arabia for Information Technology,Engineering - Telecom/Technology
Product Owner,QARA,IT/Software Development
Product Owner,QARA,Project/Program Management
Hardware Design Engineer,idaco,Creative/Design/Art
Hardware Design Engineer,idaco,IT/Software Development
flutter developer,idaco,IT/Software Development
Product Specialist (Tourism Field),Bevatel,Project/Program Management
Product Specialist (Tourism Field),Bevatel,Tourism/Travel
Business Analyst,WSC,IT/Software Development
Senior Civil Engineer (Menoufia),Elaraby Group,Engineering - Construction/Civil/Architecture
Senior Civil Engineer (Katameya),Elaraby Group,Engineering - Construction/Civil/Architecture
Software Project Manager,Asset Technology Group,IT/Software Development
Software Project Manager,Asset Technology Group,Project/Program Management
Software Project Manager,Asset Technology Group,Engineering - Telecom/Technology
Developer Analyst,Confidential,IT/Software Development
Senior Quality Assurance Testers,Al Ahly capital holding - Al Ahly Tamkeen,IT/Software Development
Senior Quality Assurance Testers,Al Ahly capital holding - Al Ahly Tamkeen,Quality
"Vendor Consultant, Spanish",Amazon MENA,IT/Software Development
"Vendor Consultant, Spanish",Amazon MENA,Engineering - Telecom/Technology
"Vendor Consultant, Spanish",Amazon MENA,Engineering - Mechanical/Electrical
Drupal Developer,WSC,IT/Software Development
System Admin,BayanTech,Installation/Maintenance/Repair
System Admin,BayanTech,IT/Software Development
System Admin,BayanTech,Engineering - Telecom/Technology
Backend Developer .Net,WSC,IT/Software Development
Senior Android Developer,YOUXEl Technology,IT/Software Development
Technical Support Engineer - German Speaker,TechJump,Installation/Maintenance/Repair
Technical Support Engineer - German Speaker,TechJump,IT/Software Development
Technical Support Engineer - German Speaker,TechJump,Engineering - Telecom/Technology
Quality Assurance Tester,Al Ahly capital holding - Al Ahly Tamkeen,IT/Software Development
Quality Assurance Tester,Al Ahly capital holding - Al Ahly Tamkeen,Quality
Senior Odoo Developer,ITSS,IT/Software Development
Technical Recruiter,Dimofinf Operations Center,Administration
Technical Recruiter,Dimofinf Operations Center,Human Resources
Technical Recruiter,Dimofinf Operations Center,IT/Software Development
Consultant,Robiquity,IT/Software Development
Consultant,Robiquity,Engineering - Telecom/Technology
Associate Consultant,Robiquity,IT/Software Development
Associate Consultant,Robiquity,Engineering - Telecom/Technology
SR. JAVA (ADF) Developer,egabi solutions,IT/Software Development
Oracle EBS Financial Consultant,softprograms,Accounting/Finance
Oracle EBS Financial Consultant,softprograms,IT/Software Development
Oracle ADF Developer,Confidential,Installation/Maintenance/Repair
Oracle ADF Developer,Confidential,IT/Software Development
Oracle ADF Developer,Confidential,Engineering - Telecom/Technology
Internal Audit Supervisor,Confidential,Accounting/Finance
Internal Audit Supervisor,Confidential,Operations/Management
Senior Civil Engineer (Luxor),Elaraby Group,Engineering - Construction/Civil/Architecture
Front End Developer,Erpplus5,IT/Software Development
Business Analyst,Erpplus5,Accounting/Finance
Business Analyst,Erpplus5,IT/Software Development
Business Analyst,Erpplus5,Analyst/Research
Software Quality Control and Tester,Erpplus5,IT/Software Development
Software Quality Control and Tester,Erpplus5,Quality
Software Tester,Confidential,IT/Software Development
Senior Python / Docker / Flask developer,GetTechForce.com,IT/Software Development
Senior Full Stack Developer,GetTechForce.com,IT/Software Development
Senior Data Engineer - Remote,GetTechForce.com,IT/Software Development
HR Manager,Confidential,Human Resources
HR Manager,Confidential,Operations/Management
HR Manager,Confidential,Pharmaceutical
Information Security Engineer,Easy Cash,IT/Software Development
Information Security Engineer,Easy Cash,Engineering - Telecom/Technology
Test Specialist:Middleware,IBM WTC Egypt,Administration
Test Specialist:Middleware,IBM WTC Egypt,IT/Software Development
Test Specialist:Middleware,IBM WTC Egypt,Engineering - Telecom/Technology
Technical Lead,LINK TSP,IT/Software Development
Technical Lead,LINK TSP,Engineering - Telecom/Technology
Hybris backend Developer,Efada Technology,IT/Software Development
App and Web developer,MFG,IT/Software Development
Project Manager,LINK TSP,IT/Software Development
Project Manager,LINK TSP,Project/Program Management
IT Help Desk,MedVAlley S.A.E,IT/Software Development
Senior Backend Node.js Developer - Mongo DB,QARA,IT/Software Development
System Administrator,MedVAlley S.A.E,IT/Software Development
Tele sales Team Leader - Brokerage,Mubasher,Customer Service/Support
IT Administrator,Trans World Trading,IT/Software Development
Full Stack Team Lead .Net & Angular,ICIS,IT/Software Development
Full Stack Team Lead .Net & Angular,ICIS,Engineering - Telecom/Technology
IT Technical Support,Enable,IT/Software Development
System Analyst,Confidential,IT/Software Development
System Analyst,Confidential,Analyst/Research
System Analyst,Confidential,Engineering - Telecom/Technology
SAP FICO Consultant,Nahdet Misr Publishing Group,Accounting/Finance
SAP FICO Consultant,Nahdet Misr Publishing Group,IT/Software Development
SAP FICO Consultant,Nahdet Misr Publishing Group,Engineering - Telecom/Technology
Project Coordinator,Giza Arabia Systems,Administration
Project Coordinator,Giza Arabia Systems,IT/Software Development
Project Coordinator,Giza Arabia Systems,Project/Program Management
Senior Communication Engineer - Transmission,Giza Arabia Systems,IT/Software Development
Senior Communication Engineer - Transmission,Giza Arabia Systems,Engineering - Telecom/Technology
Senior Communication Engineer - Transmission,Giza Arabia Systems,Engineering - Mechanical/Electrical
Java Full Stack Developer,Dedalus,IT/Software Development
.NET WPF Developer,Premier Services and Recruitment,IT/Software Development
.Net React Full-stack Developer,Premier Services and Recruitment,IT/Software Development
.Net Test Analyst,Premier Services and Recruitment,IT/Software Development
Senior Drupal Developer,K Line Europe,IT/Software Development
Senior Technical Recruiter,Link Datacenter,Administration
Senior Technical Recruiter,Link Datacenter,Human Resources
Senior Technical Recruiter,Link Datacenter,IT/Software Development
Product designer Ui UX,etmana,Creative/Design/Art
Senior Java Developer,WSC,IT/Software Development
Selenium Automation Tester,Yespays,IT/Software Development
Selenium Automation Tester,Yespays,Quality
Selenium Automation Tester,Yespays,Engineering - Telecom/Technology
Junior IT Help Desk,Nacita,Installation/Maintenance/Repair
Junior IT Help Desk,Nacita,IT/Software Development
Junior IT Help Desk,Nacita,Engineering - Telecom/Technology
IT System Admin,Delta Egypt For Lighting,IT/Software Development
Site Engineer,Kandeel Group,Engineering - Construction/Civil/Architecture
Virtual Project Management Internship,Qureos,IT/Software Development
Virtual Project Management Internship,Qureos,Marketing/PR/Advertising
Virtual Project Management Internship,Qureos,Engineering - Telecom/Technology
IT Manager,Confidential,IT/Software Development
Product Manager,Bydotpy,Business Development
Product Manager,Bydotpy,IT/Software Development
Product Manager,Bydotpy,Project/Program Management
Java Developer,Skarpt Company,IT/Software Development
Java Developer,Skarpt Company,Engineering - Telecom/Technology
IT Digital Transformation Manager,Confidential,IT/Software Development
IT Digital Transformation Manager,Confidential,Manufacturing/Production
