CompanyName,Title,MinSalary,MaxSalary,EducationLevel,JobDescription,CareerLevel,Experience,NumOfVacancies,PostingDate,Address,City
Kgroup,Senior System and Network Administrator,0,0,Bachelor'S Degree,Managing and configuring network devices like firewalls- routers- switches. Ensure maximum stability of IT facility infrastructure components by performing system maintenance tasks &system monitoring  Monitor network to ensure network availability to all system users and perform necessary maintenance to support network availability. Configure and manage VPN connection between sites. Managing and configuring Windows servers DC1/DC2/Home folder and SQL DB server. Managing and configuring user permission according to Company IT policies. Schedule Databases- exchange and Domain Controller Backups.,Manager,10 To 12 Years,1,2023-10-31 10:14:00,,Cairo
Kgroup,IT Help Desk,0,0,Bachelor'S Degree,Perform troubleshooting using different diagnostic techniques  Troubleshoot- diagnose- and resolve technical hardware and/or software issues Response to receive and record user issues and create tickets. Analyze issues and report to his direct manager for any recurring problems. Maintain and troubleshooting user's computer- printers- and devices.,Entry Level (Junior Level / Fresh Grad),1 To 3 Years,1,2023-10-31 10:14:00,,Cairo
Zewail City,Senior Backend Developer - Part Time,0,0,Bachelor'S Degree,Participate in the entire application lifecycle- focusing on coding and debugging Write clean code to develop functional web applications Collaborate effectively with stakeholders of different backgrounds- including cross-functional teams- to understand requirements and deliver exceptional solutions. Design and optimize databases- writing performance-optimized SQL queries to ensure optimal data retrieval and storage. Manage cutting-edge technologies to improve legacy applications Collaborate with Front-end developers to integrate user-facing elements with server-side logic. Utilize Git for version control and collaboration- ensuring efficient and seamless teamwork within the development team. Gather and address technical and design requirements Build reusable code and libraries for future use Liaise with developers- designers- and system administrators to identify new features Take part in requirement gathering and documentation. Excellent problem-solving skills.,Experienced (Non-Manager),3 To 5 Years,1,2023-10-31 09:14:00,6th of October,Giza
Technotown,Odoo Developer,0,0,Not Specified,"- Odoo Developer Odoo Developer   6 October - Egypt   As an odoo developer- you will collaborate with other technical team members (business analysists- QA and implementation) to create and deploy disruptive products. Come work at a growing company that offers great benefits with opportunities to moving forward and learn alongside accomplished leaders. We're seeking an eager to learn member of staff. This position is both creative and rigorous by nature you need to think outside the box. We expect the candidate to be proactive and have a ""get it done"" spirit. To be successful- you will have solid solving problem skills. Responsibilities   Understand and challenge the requirements to ensure clear accurate information. Understand Techno Town libraries and know how to make best use of it Good command of odoo development techniques (different versions) Ability to explain his developed software (presentation and documentation) Good Presentation Skills Google Adwords experience Strong analytical skills Business analysis & design skills Great team of smart people- in a friendly and open culture No dumb managers- no stupid tools to use- no rigid working hours No waste of time in enterprise processes- real responsibilities and autonomy Expand your knowledge of various business industries Create content that will help our users on a daily basis Real responsibilities and challenges in a fast evolving company What We Offer   Each employee has a chance to see the impact of his work. You can make a real contribution to the success of the company. Several activities are often organized all over the year- such as weekly sports sessions- team building events- monthly drink- and much more Perks   A full-time position Attractive salary package. Trainings   12 days / year- including 6 of your choice. Sport Activity   Play any sport with colleagues- the bill is covered. Eat & Drink   Fruit- coffee and snacks provided.",Not Specified,Not Specified,1,2023-10-31 05:14:00,,Cairo
Kgroup,IT Operations Manager,0,0,Bachelor'S Degree,Maintain IT infrastructure- including operating systems- security tools- applications- servers- email systems- laptops- desktops- software- and hardware. Handle business-critical IT tasks and lead systems administration team. Track and maintain hardware and software inventory. Develops- communicates- and controls the IT policies and procedures ensuring employees conformance to the approved regulations. Manages and supervises the daily processing- development- and maintenance of IT operations. Testing- troubleshooting- and modifying information systems so that they operate effectively. Evaluating technology risks in order to develop a network disaster recovery plan and backup procedures. Oversees the planning- management- and upgrading of the company’s VOIP system. Oversees the management of the help desk activities and apply KPI’s on helpdesk team. Remaining up to date with advances in technology and industry best practices.,Manager,12 To 15 Years,1,2023-10-30 17:14:00,,Cairo
Safa Soft,Senior PHP Developer (Laravel),0,0,Not Specified,We are seeking a highly skilled and experienced Senior Laravel Developer to join our development team. In this role- you will be responsible for designing- developing- and maintaining robust web applications using the Laravel framework. You will work closely with cross-functional teams to understand project requirements- implement efficient solutions- and ensure the delivery of high-quality software. Responsibilities: Design- develop- and maintain scalable and secure web applications and web API using the Laravel framework. Design and develop clean code using Laravel Good Knowledge with design pattern Collaborate with product managers- designers- and other stakeholders to understand project requirements and translate them into technical specifications. Write clean- efficient- and maintainable code that follows best practices and coding standards. Implement and integrate APIs- third-party services- and databases to enhance application functionality. Conduct thorough testing- troubleshoot and debug issues- and ensure the optimal performance of web applications. Optimize applications for scalability- speed- and user experience. Collaborate with the team to identify and implement process improvements- tools- and technologies that enhance development efficiency and quality. Mentor and provide guidance to junior developers- fostering their growth and development within the team. Stay up-to-date with industry trends and advancements in Laravel development- and proactively suggest improvements to enhance development processes and techniques. Participate in code reviews- provide constructive feedback- and ensure code quality and consistency across projects. Assist in project planning- estimation- and resource allocation. Collaborate effectively with cross-functional teams- including designers- testers- and project managers- to ensure successful project delivery. Stay informed about emerging technologies- tools- and frameworks related to web development.,Experienced (Non-Manager),4 To 7 Years,2,2023-10-30 16:14:00,Maadi,Cairo
Breadfast,Quality Control Inspector,0,0,Not Specified,Inspect products to ensure that they meet quality standards Create tests for quality control of products Monitor operations in the fulfillment points to ensure conformance to quality specifications Ensure that all practices in terms of operations reflect Breadfast’s quality standards and procedures Ensure products meet customer expectations based on Breadfast objectives and quality standards Communicate the results of inspections to the direct manager Write reports to document deficiencies and errors of products Follow up on the quality complaints and make sure that they are closed with corrective action.,Entry Level (Junior Level / Fresh Grad),1 To 3 Years,1,2023-10-30 16:14:00,,Cairo
Smart Cards application,Senior Database Administrator,0,0,Not Specified,Installation and configuration Oracle Enterprise Manager Cloud Control in both Main and DR sites. Applying backup and recovery measures to safeguard data. Monitoring and maintaining space usage within the database. Define and implement backup and recovery process for database instance Database backup and restores. Responsible for the configuration- and maintenance of various technologies managed by the team (Oracle Real Application Cluster “RAC”- Grid- ASM- Oracle Data Guard- Oracle Golden Gate. Prepare and revisit HLD and LLD & documentation to support database setup based on technology used. Implement database upgrades- migrations and the major patch sets installation to assure of using the latest available technologies. Tuning the general performance of the database Troubleshooting database problems Creating user accounts in application systems that require DBA involvement. Provision of Oracle client Design and implementation of appropriate Oracle DB archive logs and backup schedule to provide for recovery objectives. Scheduling services for recurring user-defined command scripts. Database recovery/restoration Create and configure Oracle Multi-tenant and Oracle In-Memory features.,Experienced (Non-Manager),3 To 5 Years,1,2023-10-30 16:14:00,6th of October,Giza
Cepack,Technical Support Specialist-Cairo,0,0,Bachelor'S Degree,We are looking for technically skilled candidates with excellent interpersonal skills for the technical support position. Technical support officers troubleshoot technical issues- provide timely customer feedback- and support the roll-out of new applications- among other duties. Moreover- technical support officers need to talk to customers directly- as well as create written documentation- requiring excellent written and verbal communication. Technical Support Responsibilities: Identifying hardware and software solutions. Troubleshooting technical issues. Diagnosing and repairing faults. Resolving network issues. Installing and configuring hardware and software. Speaking to customers to quickly get to the root of their problem. Providing timely and accurate customer feedback. Talking customers through a series of actions to resolve a problem. Following up with clients to ensure the problem is resolved. Replacing or repairing the necessary parts. Supporting the roll-out of new applications. Providing support in the form of procedural documentation. Managing multiple cases at one time. Testing and evaluating new technologies. Conducting electrical safety checks on equipment.,Experienced (Non-Manager),More Than 2 Years,1,2023-10-30 16:14:00,,Cairo
Cepack,Technical Support Specialist,0,0,Bachelor'S Degree,We are looking for technically skilled candidates with excellent interpersonal skills for the technical support position. Technical support officers troubleshoot technical issues- provide timely customer feedback- and support the roll-out of new applications- among other duties. Moreover- technical support officers need to talk to customers directly- as well as create written documentation- requiring excellent written and verbal communication. Technical Support Responsibilities: Identifying hardware and software solutions. Troubleshooting technical issues. Diagnosing and repairing faults. Resolving network issues. Installing and configuring hardware and software. Speaking to customers to quickly get to the root of their problem. Providing timely and accurate customer feedback. Talking customers through a series of actions to resolve a problem. Following up with clients to ensure the problem is resolved. Replacing or repairing the necessary parts. Supporting the roll-out of new applications. Providing support in the form of procedural documentation. Managing multiple cases at one time. Testing and evaluating new technologies. Conducting electrical safety checks on equipment.,Experienced (Non-Manager),More Than 2 Years,1,2023-10-30 16:14:00,Bourj Alarab,Alexandria
