Title,CompanyName,JobTypeName
Title,CompanyName,JobTypeName
Senior System and Network Administrator,Kgroup,Full Time
Title,CompanyName,JobTypeName
IT Help Desk,Kgroup,Full Time
Title,CompanyName,JobTypeName
Senior Backend Developer - Part Time,Zewail City,Part Time
Title,CompanyName,JobTypeName
Odoo Developer,Technotown,Full Time
Title,CompanyName,JobTypeName
IT Operations Manager,Kgroup,Full Time
Title,CompanyName,JobTypeName
Senior PHP Developer (Laravel),Safa Soft,Full Time
Title,CompanyName,JobTypeName
Quality Control Inspector,Breadfast,Full Time
Title,CompanyName,JobTypeName
Senior Database Administrator,Smart Cards application,Full Time
Title,CompanyName,JobTypeName
Technical Support Specialist-Cairo,Cepack,Full Time
Title,CompanyName,JobTypeName
Technical Support Specialist,Cepack,Full Time
Title,CompanyName,JobTypeName
Senior Front End Developer,Informatique Education,Full Time
Title,CompanyName,JobTypeName
Senior Back-End Developer (Node Js),3D Diagnostix,Full Time
Title,CompanyName,JobTypeName
IT Help Desk,Confidential,Full Time
Title,CompanyName,JobTypeName
Junior Application tester and quality control,conveyou,Full Time
Title,CompanyName,JobTypeName
Senior Front End Developer Angular,etmana,Full Time
Title,CompanyName,JobTypeName
Cloud Architect,VAS Integrated Solutions,Full Time
Title,CompanyName,JobTypeName
Senior Engineer (Customer Services),Raya Holding for Financial Investments,Full Time
Title,CompanyName,JobTypeName
Technical Support Engineer,Olivery,Full Time
Title,CompanyName,JobTypeName
Second Line Support and Network & Data Engineer.,Confidential,Full Time
Title,CompanyName,JobTypeName
Second Line Support and Systems & Security Engineer.,Confidential,Full Time
Title,CompanyName,JobTypeName
Business Analyst,3S Software,Full Time
Title,CompanyName,JobTypeName
Help Desk Engineer.,Confidential,Full Time
Title,CompanyName,JobTypeName
Information & Network security Engineer,Alexandria Business Association- SMEs Project,Full Time
Title,CompanyName,JobTypeName
IT Senior system admin- nearby to 10th of Ramadan,El Banna Group Company,Full Time
Title,CompanyName,JobTypeName
Drafter,ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Full Time
Title,CompanyName,JobTypeName
PHP Developer,Confidential,Full Time
Title,CompanyName,JobTypeName
Scrum Master,Dimofinf Operations Center,Full Time
Title,CompanyName,JobTypeName
Software Quality Control Engineer,Confidential,Full Time
Title,CompanyName,JobTypeName
Back end Support,MTS-IT,Full Time
Title,CompanyName,JobTypeName
