SectorName,CompanyName
FMCG,Kgroup
Higher Education,Zewail City
Non-Profit Organizations,Zewail City
Higher Education,Technotown
Non-Profit Organizations,Technotown
Marketing and Advertising,Safa Soft
Computer Software,Safa Soft
Information Technology Services,Safa Soft
FMCG,Breadfast
Food and Beverage Production,Breadfast
Computer Software,Smart Cards application
Packaging and Containers,Cepack
Information Technology Services,Informatique Education
Healthcare and Medical Services,3D Diagnostix
Medical Devices and Supplies,3D Diagnostix
Information Technology Services,conveyou
Training and Coaching,conveyou
Consulting Services,conveyou
Marketing and Advertising,etmana
Apparel and Fashion,etmana
Internet/E-commerce,etmana
Marketing and Advertising,VAS Integrated Solutions
Apparel and Fashion,VAS Integrated Solutions
Internet/E-commerce,VAS Integrated Solutions
Marketing and Advertising,Raya Holding for Financial Investments
Apparel and Fashion,Raya Holding for Financial Investments
Internet/E-commerce,Raya Holding for Financial Investments
Computer Software,Olivery
Logistics and Supply Chain,Olivery
Computer Software,3S Software
Information Technology Services,3S Software
Non-Profit Organizations,Alexandria Business Association- SMEs Project
Agriculture/Fishing/Farming,El Banna Group Company
FMCG,El Banna Group Company
Import and Export,El Banna Group Company
Agriculture/Fishing/Farming,ECONSTRUCT DESIGN & BUILD Pvt Ltd.
FMCG,ECONSTRUCT DESIGN & BUILD Pvt Ltd.
Import and Export,ECONSTRUCT DESIGN & BUILD Pvt Ltd.
Information Technology Services,Dimofinf Operations Center
Internet/E-commerce,Dimofinf Operations Center
Computer Software,MTS-IT
Information Technology Services,MTS-IT
Computer Software,CommuniCare Health
Information Technology Services,CommuniCare Health
Computer Software,Optasia
Information Technology Services,Optasia
Telecommunications,Optasia
Information Technology Services,Octane solutions
Computer Software,FlairsTech
Marketing and Advertising,Caduceus Lane
Healthcare and Medical Services,Caduceus Lane
Pharmaceuticals,Caduceus Lane
Computer Software,Arabia for Information Technology
Information Technology Services,Arabia for Information Technology
Internet/E-commerce,Arabia for Information Technology
Construction - Industrial Facilities and Infrastructure,Asass
Engineering Services,Amer Vision Group
Computer Software,Millensys
Information Technology Services,Servmix
Information Technology Services,classera
E-Learning,classera
FMCG,GoodsMart
Internet/E-commerce,GoodsMart
Computer Software,Agolo Egypt
Information Technology Services,eVision
Computer Software,Obeikan Digital Solutions
Information Technology Services,Obeikan Digital Solutions
Marketing and Advertising,Horizon Agency
Computer Software,Horizon Agency
Media Production,Horizon Agency
Computer and Network Security,Kyan Labs
Banking,Al Ahly Momkn for e-payment
Information Technology Services,Al Ahly Momkn for e-payment
Banking,"Halliburton Energy Services, Inc."
Information Technology Services,"Halliburton Energy Services, Inc."
Accounting and Auditing Services,ERP-Bank
Information Technology Services,ERP-Bank
Financial Services,ERP-Bank
Accounting and Auditing Services,Jumia Technologies AG
Information Technology Services,Jumia Technologies AG
Financial Services,Jumia Technologies AG
Accounting and Auditing Services,Dentsu Inc
Information Technology Services,Dentsu Inc
Financial Services,Dentsu Inc
Computer Software,Arabic Localizer
Translation and Localization,Arabic Localizer
E-Learning,Arabic Localizer
Consulting Services,Galaxy Consulting Solutions (G.C.S)
Information Technology Services,softprograms
Information Technology Services,S.C. Johnson & Son Inc
Information Technology Services,Merck Sharp & Dohme Corp
Information Technology Services,Giza Arabia Systems
Information Technology Services,IBM WTC Egypt
Telecommunications,Sutherland
Computer Software,Sceel.io
Outsourcing/Offshoring,Sceel.io
Recruitment and Staffing,Sceel.io
Computer Software,BayanTech
Outsourcing/Offshoring,BayanTech
Recruitment and Staffing,BayanTech
Marketing and Advertising,Nile Creations
Computer Software,Nile Creations
Information Technology Services,Nile Creations
Computer Software,34ML
Information Technology Services,QARA
Internet/E-commerce,QARA
Wholesale Trade,QARA
Manufacturing,idaco
Computer Software,Bevatel
Computer Software,WSC
Manufacturing,Elaraby Group
Computer Software,Asset Technology Group
Information Technology Services,Asset Technology Group
Financial Services,Al Ahly capital holding - Al Ahly Tamkeen
Financial Services,Amazon MENA
Information Technology Services,YOUXEl Technology
Computer Software,TechJump
Computer Software,ITSS
Information Technology Services,Robiquity
Consulting Services,Robiquity
Computer Software,egabi solutions
Information Technology Services,egabi solutions
Business Services - Other,Erpplus5
Computer Software,Erpplus5
Information Technology Services,Erpplus5
Computer Software,GetTechForce.com
Internet/E-commerce,GetTechForce.com
Recruitment and Staffing,GetTechForce.com
Financial Services,Easy Cash
Computer Software,LINK TSP
Information Technology Services,Efada Technology
Information Technology Services,MFG
Alternative Medicine,MedVAlley S.A.E
Healthcare and Medical Services,MedVAlley S.A.E
Medical Devices and Supplies,MedVAlley S.A.E
Financial Services,Mubasher
Real Estate/Property Management,Trans World Trading
Retail,Trans World Trading
Computer Software,ICIS
Information Technology Services,ICIS
Outsourcing/Offshoring,Enable
Publishing and Printing,Nahdet Misr Publishing Group
Information Technology Services,Dedalus
Healthcare and Medical Services,Dedalus
Human Resources,Premier Services and Recruitment
Medical Devices and Supplies,K Line Europe
Information Technology Services,Link Datacenter
Apparel and Fashion,Yespays
Computer Networking,Yespays
Retail,Yespays
Automotive,Nacita
Logistics and Supply Chain,Nacita
Other - Not Classified,Delta Egypt For Lighting
Real Estate/Property Management,Kandeel Group
Real Estate/Property Management,Qureos
Computer Software,Bydotpy
Information Technology Services,Bydotpy
Construction - Industrial Facilities and Infrastructure,Skarpt Company
Accounting and Auditing Services,Cashcall
Information Technology Services,Lumin
Information Technology Services,SSC Egypt
Outsourcing/Offshoring,SSC Egypt
Recruitment and Staffing,SSC Egypt
Computer Software,International Advanced
Energy and Utilities,ENOVA Facilities Management
Computer Software,Callvita
Automotive,New Energy EV
Human Resources,Tawzef
Recruitment and Staffing,Tawzef
Consulting Services,Tawzef
Information Technology Services,Wicresoft
Computer Software,Airpoint
Information Technology Services,Fixed Solutions
Internet/E-commerce,Fixed Solutions
Computer Software,RDI
Research,RDI
E-Learning,RDI
Food Services/Restaurants/Catering,Alromansiah
Travel and Tourism,Travolic.LLc
Marketing and Advertising,BeConnected
Information Technology Services,BeConnected
Graphic Design,BeConnected
Computer Hardware,Simple Touch Software
Computer Software,Simple Touch Software
Information Technology Services,Simple Touch Software
Information Technology Services,MegaSoft
Information Technology Services,Poverty Action Lab
Information Technology Services,Cargoes
Telecommunications,SABA
Computer and Network Security,Ejada
Computer Software,Ejada
Information Technology Services,Ejada
Information Technology Services,Sarmady
Information Technology Services,Heineken
Retail,Union Coop
Computer Software,Algoriza
